iter	Logloss
0	0.6491860388
1	0.6239376222
2	0.6058726914
3	0.5934415981
4	0.5839956182
5	0.5759050795
6	0.5699215619
7	0.5637418796
8	0.5587737804
9	0.5540517939
10	0.5498506449
11	0.5460254933
12	0.5421943412
13	0.5388226638
14	0.5353628127
15	0.5314185432
16	0.5279426507
17	0.5248098046
18	0.522197639
19	0.5190643108
20	0.516695002
21	0.5142686177
22	0.5115249002
23	0.5093835891
24	0.5068991938
25	0.5044890658
26	0.502441839
27	0.5004162767
28	0.4981052054
29	0.4962754272
30	0.4944705722
31	0.4926247411
32	0.4909717258
33	0.4890149818
34	0.4871584041
35	0.485192453
36	0.4832483551
37	0.4818393613
38	0.4802935701
39	0.4789643503
40	0.4776676809
41	0.4761698889
42	0.474615791
43	0.4726449952
44	0.4714368655
45	0.4700993216
46	0.4688284525
47	0.467453836
48	0.4661517497
49	0.4650236119
50	0.4638374545
51	0.4627256979
52	0.4615520674
53	0.4602069167
54	0.4591453637
55	0.4581838521
56	0.4571091565
57	0.4556235806
58	0.4546820983
59	0.4534885345
60	0.4524785067
61	0.4515142795
62	0.4504543037
63	0.4495488686
64	0.4483580147
65	0.4469110218
66	0.4459752321
67	0.4451242035
68	0.4438106592
69	0.4427602332
70	0.4417928982
71	0.4408860458
72	0.4399656643
73	0.4390287187
74	0.4375755974
75	0.4367490825
76	0.435695328
77	0.4348493822
78	0.4341156504
79	0.4330833745
80	0.4322676932
81	0.4315023899
82	0.4304714761
83	0.4294410561
84	0.4287224508
85	0.4280185914
