iter	Passed	Remaining
0	20397	20377053
1	36187	18057750
2	62254	20689169
3	92111	22935733
4	109515	21793553
5	142050	23533096
6	169531	24049237
7	193225	23959902
8	216910	23884252
9	236640	23427395
10	248568	22348597
11	257586	21207931
12	269686	20475450
13	282111	19868742
14	290084	19048907
15	298536	18359973
16	307014	17752660
17	318630	17383039
18	328166	16943770
19	344968	16903478
20	356568	16622906
21	366739	16303222
22	375557	15953011
23	384348	15630192
24	397560	15504865
25	410833	15390465
26	424166	15285714
27	432820	15025048
28	448678	15022978
29	461193	14911933
30	470646	14711505
31	480893	14547015
32	494596	14493170
33	510675	14509190
34	528394	14568588
35	541648	14504142
36	555326	14453486
37	569405	14414945
38	582078	14343012
39	593425	14242207
40	608444	14231666
41	619866	14138852
42	632261	14071499
43	646311	14042593
44	656919	13941301
45	668336	13860714
46	678089	13749345
47	687479	13635012
48	697577	13538698
49	713586	13558137
50	727162	13530931
51	737467	13444605
52	755080	13491716
53	768906	13470107
54	780281	13406648
55	793496	13376076
56	808832	13381212
57	824247	13386920
58	837165	13352086
59	845950	13253217
60	858138	13209699
61	867373	13122522
62	876420	13035014
63	886906	12971007
64	898403	12923187
65	909342	12868579
66	920417	12817161
67	937130	12844199
68	946466	12770432
69	956170	12703403
70	966018	12639874
71	975668	12575286
72	987336	12537827
73	1001589	12533400
74	1015126	12519893
75	1025315	12465679
76	1037072	12431400
77	1047697	12384326
78	1056910	12321703
79	1072188	12330169
80	1084107	12299934
81	1092792	12233949
82	1101899	12173997
83	1116189	12171775
84	1126879	12130522
85	1141820	12135161
